Cygnus olor,Mute Swan,,
Cygnus cygnus,Whooper Swan,,
Cygnus columbianus,Tundra Swan,,
Anser cygnoides,Swan Goose,,
Anser fabalis,Bean Goose,,
Anser albifrons,Greater White-fronted Goose,,
Anser erythropus,Lesser White-fronted Goose,,
Anser anser,Greylag Goose,,
Anser indicus,Bar-headed Goose,,
Tadorna ferruginea,Ruddy Shelduck,,
Tadorna tadorna,Common Shelduck,,
Nettapus coromandelianus,Cotton Pygmy-goose,,
Aix galericulata,Mandarin Duck,,
Mareca strepera,Gadwall,,
Mareca falcata,Falcated Duck,,
Mareca penelope,Eurasian Wigeon,,
Anas platyrhynchos,Mallard,,
Spatula clypeata,Northern Shoveler,,
Anas acuta,Northern Pintail,,
Spatula querquedula,Garganey,,
Sibirionetta formosa,Baikal Teal,,
Anas crecca,Common Teal,,
Netta rufina,Red-crested Pochard,,
Aythya ferina,Common Pochard,,
Aythya nyroca,Ferruginous Duck,,
Aythya fuligula,Tufted Duck,,
Aythya marila,Greater Scaup,,
Bucephala clangula,Common Goldeneye,,
Mergellus albellus,Smew,,
Mergus serrator,Red-breasted Merganser,,
Mergus squamatus,Scaly-sided Merganser,,
Mergus merganser,Common Merganser,,
Leucogeranus leucogeranus,Siberian Crane,,
Antigone vipio,White-naped Crane,,
Grus virgo,Demoiselle Crane,,
Grus grus,Common Crane,,
Grus monacha,Hooded Crane,,
Grus nigricollis,Black-necked Crane,,
Grus japonensis,Red-crowned Crane,,
Gallirallus striatus,Slaty-breasted Rail,,
Rallus aquaticus,Water Rail,,
Amaurornis akool,Brown Crake,,
Amaurornis phoenicurus,White-breasted Waterhen,,
Porzana pusilla,Baillon's Crake,,
Porzana fusca,Ruddy-breasted Crake,,
Gallicrex cinerea,Watercock,,
Gallinula chloropus,Common Moorhen,,
Fulica atra,Common Coot,,
Scolopax rusticola,Eurasian Woodcock,,
Gallinago stenura,Pintail Snipe,,
Gallinago megala,Swinhoe's Snipe,,
Gallinago gallinago,Common Snipe,,
Limosa limosa,Black-tailed Godwit,,
Limosa lapponica,Bar-tailed Godwit,,
Numenius minutus,Little Curlew,,
Numenius phaeopus,Whimbrel,,
Numenius arquata,Eurasian Curlew,,
Numenius madagascariensis,Far Eastern Curlew,,
Tringa erythropus,Spotted Redshank,,
Tringa totanus,Common Redshank,,
Tringa stagnatilis,Marsh Sandpiper,,
Tringa nebularia,Common Greenshank,,
Tringa guttifer,Spotted Greenshank,,
Tringa ochropus,Green Sandpiper,,
Tringa glareola,Wood Sandpiper,,
Xenus cinereus,Terek Sandpiper,,
Actitis hypoleucos,Common Sandpiper,,
Tringa brevipes,Grey-tailed Tattler,,
Arenaria interpres,Ruddy Turnstone,,
Limnodromus semipalmatus,Asian Dowitcher,,
Calidris tenuirostris,Great Knot,,
Calidris canutus,Red Knot,,
Calidris alba,Sanderling,,
Calidris pygmeus,Spoon-billed Sandpiper,,
Calidris minuta,Little Stint,,
Calidris ruficollis,Red-necked Stint,,
Calidris temminckii,Temminck's Stint,,
Calidris subminuta,Long-toed Stint,,
Calidris acuminata,Sharp-tailed Sandpiper,,
Calidris alpina,Dunlin,,
Calidris ferruginea,Curlew Sandpiper,,
Calidris falcinellus,Broad-billed Sandpiper,,
Calidris pugnax,Ruff,,
Phalaropus lobatus,Red-necked Phalarope,,
Rostratula benghalensis,Greater Painted-Snipe,,
Hydrophasianus chirurgus,Pheasant-tailed Jacana,,
Haematopus ostralegus,Eurasian Oystercatcher,,
Ibidorhyncha struthersii,Ibisbill,,
Himantopus himantopus,Black-winged Stilt,,
Recurvirostra avosetta,Pied Avocet,,
Pluvialis fulva,Pacific Golden Plover,,
Pluvialis squatarola,Grey Plover,,
Charadrius placidus,Long-billed Plover,,
Charadrius dubius,Little Ringed Plover,,
Charadrius alexandrinus,Kentish Plover,,
Charadrius mongolus,Lesser Sand Plover,,
Charadrius leschenaultii,Greater Sand Plover,,
Charadrius veredus,Oriental Plover,,
Vanellus vanellus,Northern Lapwing,,
Vanellus cinereus,Grey-headed Lapwing,,
Glareola maldivarum,Oriental Pratincole,,
Larus crassirostris,Black-tailed Gull,,
Larus canus,Mew Gull,,
Larus hyperboreus,Glaucous Gull,,
Larus schistisagus,Slaty-backed Gull,,
Larus cachinnans,Yellow-legged Gull,,
Ichthyaetus ichthyaetus,Pallas's Gull,,
Chroicocephalus brunnicephalus,Brown-headed Gull,,
Chroicocephalus ridibundus,Black-headed Gull,,
Chroicocephalus saundersi,Saunders's Gull,,
Ichthyaetus relictus,Relict Gull,,
Gelochelidon nilotica,Gull-billed Tern,,
Hydroprogne caspia,Caspian Tern,,
Thalasseus bergii,Great Crested Tern,,
Sterna dougallii,Roseate Tern,,
Sterna sumatrana,Black-naped Tern,,
Sterna hirundo,Common Tern,,
Sternula albifrons,Little Tern,,
Onychoprion aleuticus,Aleutian Tern,,
Onychoprion anaethetus,Bridled Tern,,
Chlidonias hybrida,Whiskered Tern,,
Chlidonias leucopterus,White-winged Tern,,
Tachybaptus ruficollis,Little Grebe,,
Podiceps grisegena,Red-necked Grebe,,
Podiceps cristatus,Great Crested Grebe,,
Podiceps auritus,Horned Grebe,,
Podiceps nigricollis,Black-necked Grebe,,
Phalacrocorax carbo,Great Cormorant,,
Egretta garzetta,Little Egret,,
Egretta eulophotes,Chinese Egret,,
Egretta sacra,Pacific Reef-egret,,
Ardea cinerea,Grey Heron,,
Ardea purpurea,Purple Heron,,
Ardea alba,Great Egret,,
Ardea intermedia,Intermediate Egret,,
Bubulcus coromandus,Cattle Egret,,
Ardeola bacchus,Chinese Pond-heron,,
Butorides striata,Striated Heron,,
Nycticorax nycticorax,Black-crowned Night-heron,,
Ixobrychus minutus,Little Bittern,,
Ixobrychus sinensis,Yellow Bittern,,
Ixobrychus eurhythmus,Schrenck's Bittern,,
Ixobrychus cinnamomeus,Cinnamon Bittern,,
Dupetor flavicollis,Black Bittern,,
Botaurus stellaris,Great Bittern,,
Platalea leucorodia,Eurasian Spoonbill,,
Platalea minor,Black-faced Spoonbill,,
Pelecanus crispus,Dalmatian Pelican,,
Ciconia nigra,Black Stork,,
Ciconia boyciana,Oriental Stork,,
