species,province,count,lat,lon,date,doy
Anas acuta,Fujian,2,26.034188,119.642015,12/3/2017,336
Aythya ferina,Shanghai,40,30.920507,121.973159,12/3/2016,337
Recurvirostra avosetta,Guangdong,30,22.45799,113.551847,12/16/2018,349
Aix galericulata,Fujian,4,27.058648,117.096244,5/26/2016,146
Tringa glareola,Nei Mongol,1,40.933333,108.866667,8/10/1996,222
Gallinula chloropus,Xinjiang,3,44.1273,87.5327,7/29/2017,209
Recurvirostra avosetta,Shanghai,4,30.920507,121.973159,1/15/2017,14
Anas crecca,Beijing,15,40.395457,115.829372,9/22/2018,264
Tringa glareola,Shanghai,7,31.474528,121.882243,10/16/2016,289
Spatula clypeata,Shanghai,300,30.920507,121.973159,1/15/2017,14
Spatula clypeata,Shanghai,20,30.920507,121.973159,11/10/2018,313
Anas crecca,Beijing,8,40.000162,116.27374,3/2/1987,60
Tringa glareola,Shanghai,1,30.920507,121.973159,4/8/2017,97
Gallinula chloropus,Beijing,1,40.12795,116.302836,3/4/2018,62
Anas acuta,Beijing,48,40.395457,115.829372,3/16/2013,74
Recurvirostra avosetta,Jiangxi,10000,28.91131,116.322726,1/18/2018,17
Spatula clypeata,Jiangsu,1500,33.539015,120.546541,1/9/2015,8
Gallinula chloropus,Shanghai,1,31.117453,121.048869,9/22/2018,264
Gallinula chloropus,Jiangsu,1,32.868218,120.91234,4/29/2017,118
Gallinula chloropus,Yunnan,1,25.057067,102.74354,1/23/2013,22
Recurvirostra avosetta,Jiangsu,20,32.75,120.96,4/29/2018,118
Gallinula chloropus,Shanghai,6,30.753804,121.39207,5/8/2016,128
Aythya ferina,Jiangsu,400,33.55764,120.428521,1/8/2015,7
Recurvirostra avosetta,Jiangsu,1,33.634694,120.47629,12/30/2017,363
Gallinula chloropus,Shanghai,1,31.215664,121.545353,5/5/2018,124
Tringa glareola,Hebei,10,39.138,118.83512,5/11/1995,130
Spatula clypeata,Beijing,,40.000162,116.27374,4/1/1990,90
Tringa glareola,Guangxi,1,21.426925,109.176657,10/21/2018,293
Anas crecca,Yunnan,2,27.880053,99.638271,6/6/2008,157
Aythya ferina,Xinjiang,,43.814804,87.436774,5/18/2014,137
Anas crecca,Beijing,5,40.510275,117.03083,12/6/2015,339
Anas acuta,Liaoning,,39.089834,122.01725,4/9/2009,98
Anas crecca,Beijing,2,40.409575,115.846818,10/14/2018,286
Anas crecca,Beijing,1,40.395457,115.829372,10/31/2018,303
Anas crecca,Beijing,27,39.776448,116.583882,12/18/2015,351
Spatula clypeata,Shanghai,8,30.920507,121.973159,10/1/2011,273
Anas acuta,Shanghai,60,30.920507,121.973159,11/12/2016,316
Gallinula chloropus,Shanghai,5,31.144741,121.370688,12/30/2016,364
Gallinula chloropus,Shanghai,1,30.920507,121.973159,11/2/2017,305
Anas crecca,Jiangxi,,28.856927,116.167129,2/2/2018,32
Aythya ferina,Yunnan,200,27.875197,99.651318,3/29/2011,87
Tringa glareola,Hebei,35,39.821789,119.522647,5/12/2015,131
Gallinula chloropus,Guangxi,1,22.243694,107.048979,3/17/2018,75
Recurvirostra avosetta,Jiangsu,1,32.581667,121.006667,5/5/2015,124
Gallinula chloropus,Shanghai,,31.49514,121.964722,4/25/2015,114
Spatula clypeata,Yunnan,5,26.877981,100.154114,11/27/2015,330
Aythya ferina,Beijing,13,40.409575,115.846818,11/10/2018,313
Gallinula chloropus,Jiangxi,2,28.760197,116.397312,1/13/2018,12
Anas acuta,Shanghai,,30.920507,121.973159,10/30/2016,303
Gallinula chloropus,Shanghai,5,30.920507,121.973159,4/28/2017,117
Gallinula chloropus,Jiangxi,,28.870571,116.43317,6/13/2015,163
Spatula clypeata,Beijing,1,40.409575,115.846818,9/18/2018,260
Aythya ferina,Hebei,1,40.379109,115.824553,10/20/2018,292
Anas crecca,Shanghai,20,30.920507,121.973159,12/31/2018,364
Anas crecca,Jiangsu,4,33.602272,120.507223,12/1/2017,334
Anas crecca,Liaoning,,41.834805,123.660522,3/13/2017,71
Tringa glareola,Hebei,20,39.068047,118.213105,7/6/2018,186
Recurvirostra avosetta,Hebei,6,39.138,118.83512,5/7/2013,126
Gallinula chloropus,Jiangxi,6,29.307588,117.880575,1/11/2018,10
Aythya ferina,Jiangxi,6,28.901525,116.251963,11/26/2016,330
Tringa glareola,Jiangsu,20,32.581667,121.006667,4/23/2016,113
Recurvirostra avosetta,Guangdong,60,22.522418,114.00032,12/17/2016,351
Gallinula chloropus,Shanghai,30,30.920507,121.973159,10/17/2018,289
Gallinula chloropus,Zhejiang,9,30.346195,120.74967,10/11/2011,283
Anas crecca,Tianjin,20,39.219487,117.977886,4/14/2017,103
