species,province,count,lat,lon,date,doy
Anas acuta,Fujian,2,26.034188,119.642015,12/3/2017,336
Aythya ferina,Shanghai,40,30.920507,121.973159,12/3/2016,337
Recurvirostra avosetta,Guangdong,30,22.45799,113.551847,12/16/2018,349
Aix galericulata,Fujian,4,27.058648,117.096244,5/26/2016,146
Recurvirostra avosetta,Shanghai,4,30.920507,121.973159,1/15/2017,14
Tringa glareola,Shanghai,7,31.474528,121.882243,10/16/2016,289
Spatula clypeata,Shanghai,300,30.920507,121.973159,1/15/2017,14
Spatula clypeata,Shanghai,20,30.920507,121.973159,11/10/2018,313
Tringa glareola,Shanghai,1,30.920507,121.973159,4/8/2017,97
Recurvirostra avosetta,Jiangxi,10000,28.91131,116.322726,1/18/2018,17
Spatula clypeata,Jiangsu,1500,33.539015,120.546541,1/9/2015,8
Gallinula chloropus,Shanghai,1,31.117453,121.048869,9/22/2018,264
Gallinula chloropus,Jiangsu,1,32.868218,120.91234,4/29/2017,118
Recurvirostra avosetta,Jiangsu,20,32.75,120.96,4/29/2018,118
Gallinula chloropus,Shanghai,6,30.753804,121.39207,5/8/2016,128
Aythya ferina,Jiangsu,400,33.55764,120.428521,1/8/2015,7
Recurvirostra avosetta,Jiangsu,1,33.634694,120.47629,12/30/2017,363
Gallinula chloropus,Shanghai,1,31.215664,121.545353,5/5/2018,124
Tringa glareola,Guangxi,1,21.426925,109.176657,10/21/2018,293
Spatula clypeata,Shanghai,8,30.920507,121.973159,10/1/2011,273
Anas acuta,Shanghai,60,30.920507,121.973159,11/12/2016,316
Gallinula chloropus,Shanghai,5,31.144741,121.370688,12/30/2016,364
Gallinula chloropus,Shanghai,1,30.920507,121.973159,11/2/2017,305
Anas crecca,Jiangxi,1,28.856927,116.167129,2/2/2018,32
Recurvirostra avosetta,Jiangsu,1,32.581667,121.006667,5/5/2015,124
Gallinula chloropus,Shanghai,1,31.49514,121.964722,4/25/2015,114
Gallinula chloropus,Jiangxi,2,28.760197,116.397312,1/13/2018,12
Anas acuta,Shanghai,1,30.920507,121.973159,10/30/2016,303
Gallinula chloropus,Shanghai,5,30.920507,121.973159,4/28/2017,117
Gallinula chloropus,Jiangxi,1,28.870571,116.43317,6/13/2015,163
Anas crecca,Shanghai,20,30.920507,121.973159,12/31/2018,364
Anas crecca,Jiangsu,4,33.602272,120.507223,12/1/2017,334
Gallinula chloropus,Jiangxi,6,29.307588,117.880575,1/11/2018,10
Aythya ferina,Jiangxi,6,28.901525,116.251963,11/26/2016,330
Tringa glareola,Jiangsu,20,32.581667,121.006667,4/23/2016,113
Recurvirostra avosetta,Guangdong,60,22.522418,114.00032,12/17/2016,351
Gallinula chloropus,Shanghai,30,30.920507,121.973159,10/17/2018,289
Gallinula chloropus,Zhejiang,9,30.346195,120.74967,10/11/2011,283
Gallinula chloropus,Shanghai,2,31.215664,121.545353,6/9/2017,159
Gallinula chloropus,Shanghai,1,31.215664,121.545353,11/25/2017,328
Gallinula chloropus,Shanghai,9,30.920507,121.973159,8/27/2016,239
Aix galericulata,Henan,1,31.948029,114.255731,5/25/2014,144
Gallinula chloropus,Shanghai,6,31.215664,121.545353,9/5/2016,248
Spatula clypeata,Shanghai,12,30.920507,121.973159,4/9/2015,98
Gallinula chloropus,Jiangxi,3,29.164614,117.842046,12/31/2018,364
Gallinula chloropus,Henan,6,31.957114,114.244251,12/6/2017,339
Gallinula chloropus,Guangdong,4,22.524589,114.009621,11/3/2014,306
Anas crecca,Jiangxi,6,29.661206,115.85495,12/8/2017,341
Spatula clypeata,Shanghai,6,30.920507,121.973159,10/20/2016,293
Recurvirostra avosetta,Jiangsu,2,32.525747,121.136167,5/2/2014,121
Gallinula chloropus,Guangdong,2,22.354663,113.516021,9/26/2018,268
Aix galericulata,Shanghai,2,30.920507,121.973159,4/9/2015,98
Recurvirostra avosetta,Jiangsu,5,33.599822,120.507639,1/1/2014,0
Anas crecca,Jiangxi,950,28.915508,116.290627,1/15/2018,14
Aix galericulata,Shanghai,3,31.20047,121.376479,1/19/2002,18
Anas acuta,Shanghai,3,31.50919,121.955346,4/8/2017,97
Spatula clypeata,Fujian,3,26.034188,119.642015,1/9/2018,8
Gallinula chloropus,Guangdong,3,22.490513,113.562326,12/31/2018,364
Gallinula chloropus,Jiangxi,1,28.689044,115.86849,12/14/2008,348
Aythya ferina,Zhejiang,35,30.301909,121.347299,11/24/2018,327
Anas acuta,Jiangxi,20,28.815445,116.379027,12/12/2012,346
Gallinula chloropus,Shanghai,5,30.920507,121.973159,11/17/2018,320
Gallinula chloropus,Jiangsu,10,33.599822,120.507639,12/2/2017,335
