species,province,count,lat,lon,date,doy
Mareca penelope,Guangdong,741,22.614055,113.635714,11/17/2013,320
Egretta garzetta,Shanghai,7,31.236743,121.51266,8/11/2015,222
Aythya ferina,Shanghai,40,30.920507,121.973159,12/3/2016,337
Recurvirostra avosetta,Guangdong,30,22.45799,113.551847,12/16/2018,349
Charadrius alexandrinus,Jiangsu,50,32.351398,121.414247,12/15/2016,349
Charadrius alexandrinus,Jiangsu,3,32.544209,120.997805,4/13/2017,102
Tachybaptus ruficollis,Shanghai,5,30.920507,121.973159,11/17/2018,320
Spatula querquedula,Shanghai,30,30.920507,121.973159,3/29/2018,87
Calidris falcinellus,Jiangsu,100,32.581667,121.006667,10/8/2016,281
Tachybaptus ruficollis,Shanghai,15,30.920507,121.973159,12/12/2015,345
Calidris acuminata,Shanghai,10,30.920507,121.973159,8/5/2017,216
Fulica atra,Shanghai,14,30.920507,121.973159,10/15/2018,287
Calidris ferruginea,Jiangsu,,32.581667,121.006667,4/21/2015,110
Calidris acuminata,Jiangsu,20,32.581667,121.006667,5/2/2014,121
Antigone vipio,Jiangxi,2,29.173488,115.981259,12/29/2018,362
Calidris alba,Jiangsu,8,32.581667,121.006667,10/3/2016,276
Calidris ferruginea,Jiangsu,25,32.581667,121.006667,5/9/2015,128
Calidris canutus,Jiangsu,5,32.75,120.96,4/30/2018,119
Egretta garzetta,Guangdong,14,23.075547,113.323916,10/21/2018,293
Himantopus himantopus,Shanghai,30,30.920507,121.973159,8/13/2017,224
Tringa nebularia,Guangdong,1,22.524965,114.00959,1/17/2016,16
Nycticorax nycticorax,Shanghai,2,31.030843,121.452453,12/5/2018,338
Anas platyrhynchos,Shanghai,30,30.920507,121.973159,11/18/2017,321
Nycticorax nycticorax,Zhejiang,1,30.358582,121.202846,10/18/2015,290
Sterna hirundo,Jiangsu,3000,32.581667,121.006667,5/5/2014,124
Ardeola bacchus,Zhejiang,1,30.256033,120.116116,8/30/2008,242
Recurvirostra avosetta,Shanghai,4,30.920507,121.973159,1/15/2017,14
Tringa nebularia,Jiangsu,,32.581667,121.006667,9/15/2016,258
Charadrius dubius,Guangdong,,23.168139,112.662048,2/17/1986,47
Anas platyrhynchos,Zhejiang,30,27.881646,120.872226,12/24/2011,357
Egretta garzetta,Jiangsu,2,32.813115,120.964199,5/21/2016,141
Chlidonias hybrida,Jiangsu,,32.009849,118.642391,6/6/2015,156
Phalacrocorax carbo,Jiangsu,65,33.645158,120.474518,12/10/2017,343
Aythya fuligula,Shanghai,20,30.920507,121.973159,1/7/2017,6
Calidris ruficollis,Shanghai,4,30.920507,121.973159,9/17/2018,259
Amaurornis phoenicurus,Guangdong,5,23.18536,113.366944,2/4/2018,34
Egretta garzetta,Shanghai,3,30.729147,121.37219,5/21/2017,140
Vanellus cinereus,Jiangsu,4,32.304181,121.177805,4/19/2014,108
Ardeola bacchus,Guangdong,5,23.395508,117.103361,7/29/2016,210
Vanellus cinereus,Jiangxi,3,29.240804,117.871756,5/9/2017,128
Platalea minor,Guangdong,1,20.250828,110.286374,1/17/2015,16
Glareola maldivarum,Shanghai,6,30.89183,121.902189,10/15/2016,288
Tringa nebularia,Shanghai,30,30.920507,121.973159,8/13/2017,224
Charadrius alexandrinus,Guangdong,2,22.778081,113.977554,3/13/2014,71
Tringa glareola,Shanghai,7,31.474528,121.882243,10/16/2016,289
Spatula clypeata,Shanghai,300,30.920507,121.973159,1/15/2017,14
Spatula clypeata,Shanghai,20,30.920507,121.973159,11/10/2018,313
Calidris alpina,Shanghai,170,30.920507,121.973159,12/10/2016,344
Tringa glareola,Shanghai,1,30.920507,121.973159,4/8/2017,97
Leucogeranus leucogeranus,Shanghai,,31.297333,121.859434,12/3/2016,337
Calidris ferruginea,Jiangsu,20,32.331229,121.185851,5/1/2014,120
Sternula albifrons,Jiangsu,2,32.581667,121.006667,5/1/2014,120
Gallinago gallinago,Shanghai,3,30.920507,121.973159,10/24/2015,296
Tringa nebularia,Shanghai,7,30.920507,121.973159,9/17/2016,260
Egretta garzetta,Zhejiang,3,27.65353,119.780116,7/14/2017,194
Mareca penelope,Jiangsu,50,34.648178,119.259381,1/17/2016,16
Calidris ruficollis,Shanghai,30,30.901893,121.976287,4/30/2016,120
Calidris alpina,Guangdong,,21.618953,111.785792,12/26/2015,359
Pluvialis squatarola,Jiangsu,145,32.581667,121.006667,8/26/2015,237
Ardeola bacchus,Shanghai,1,30.920507,121.973159,8/2/2018,213
Ardea cinerea,Shanghai,,31.687757,121.613716,4/4/2017,93
Nycticorax nycticorax,Shanghai,5,31.063559,120.997217,6/23/2018,173
Actitis hypoleucos,Jiangsu,1,32.576717,121.004878,9/16/2018,258
Tachybaptus ruficollis,Shanghai,20,30.920507,121.973159,1/15/2017,14
