Cygnus olor, Cygnus cygnus, Cygnus columbianus, Anser cygnoides, Anser fabalis, Anser albifrons, Anser erythropus, Anser anser, Anser indicus, Tadorna ferruginea, Tadorna tadorna, Nettapus coromandelianus, Aix galericulata, Mareca strepera, Mareca falcata, Mareca penelope, Anas platyrhynchos, Spatula clypeata, Anas acuta, Spatula querquedula, Sibirionetta formosa, Anas crecca, Netta rufina, Aythya ferina, Aythya nyroca, Aythya fuligula, Aythya marila, Bucephala clangula, Mergellus albellus, Mergus serrator, Mergus squamatus, Mergus merganser, Leucogeranus leucogeranus, Antigone vipio, Grus virgo, Grus grus, Grus monacha, Grus nigricollis, Grus japonensis, Gallirallus striatus, Rallus aquaticus, Amaurornis akool, Amaurornis phoenicurus, Porzana pusilla, Porzana fusca, Gallicrex cinerea, Gallinula chloropus, Fulica atra, Scolopax rusticola, Gallinago stenura, Gallinago megala, Gallinago gallinago, Limosa limosa, Limosa lapponica, Numenius minutus, Numenius phaeopus, Numenius arquata, Numenius madagascariensis, Tringa erythropus, Tringa totanus, Tringa stagnatilis, Tringa nebularia, Tringa guttifer, Tringa ochropus, Tringa glareola, Xenus cinereus, Actitis hypoleucos, Tringa brevipes, Arenaria interpres, Limnodromus semipalmatus, Calidris tenuirostris, Calidris canutus, Calidris alba, Calidris pygmeus, Calidris minuta, Calidris ruficollis, Calidris temminckii, Calidris subminuta, Calidris acuminata, Calidris alpina, Calidris ferruginea, Calidris falcinellus, Calidris pugnax, Phalaropus lobatus, Rostratula benghalensis, Hydrophasianus chirurgus, Haematopus ostralegus, Ibidorhyncha struthersii, Himantopus himantopus, Recurvirostra avosetta, Pluvialis fulva, Pluvialis squatarola, Charadrius placidus, Charadrius dubius, Charadrius alexandrinus, Charadrius mongolus, Charadrius leschenaultii, Charadrius veredus, Vanellus vanellus, Vanellus cinereus, Glareola maldivarum, Larus crassirostris, Larus canus, Larus hyperboreus, Larus schistisagus, Larus cachinnans, Ichthyaetus ichthyaetus, Chroicocephalus brunnicephalus, Chroicocephalus ridibundus, Chroicocephalus saundersi, Ichthyaetus relictus, Gelochelidon nilotica, Hydroprogne caspia, Thalasseus bergii, Sterna dougallii, Sterna sumatrana, Sterna hirundo, Sternula albifrons, Onychoprion aleuticus, Onychoprion anaethetus, Chlidonias hybrida, Chlidonias leucopterus, Tachybaptus ruficollis, Podiceps grisegena, Podiceps cristatus, Podiceps auritus, Podiceps nigricollis, Phalacrocorax carbo, Egretta garzetta, Egretta eulophotes, Egretta sacra, Ardea cinerea, Ardea purpurea, Ardea alba, Ardea intermedia, Bubulcus coromandus, Ardeola bacchus, Butorides striata, Nycticorax nycticorax, Ixobrychus minutus, Ixobrychus sinensis, Ixobrychus eurhythmus, Ixobrychus cinnamomeus, Dupetor flavicollis, Botaurus stellaris, Platalea leucorodia, Platalea minor, Pelecanus crispus, Ciconia nigra, Ciconia boyciana
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,2,279,3,0,0,6,0,3,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,0,2,0,0,0,30,0,0,10,0,0,0,50,0,0,0,0,0,0,0,0,17,0,30,9,0,2,101,0,50,0,0,9,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,1,0,0,42,201,0,1,15,1,35,0,0,27,1,1,0,1,0,0,0,0,0,27,0,0,0
0,0,0,0,0,0,0,0,0,9,0,0,0,0,10,2203,5,224,8,8,0,274,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,119,5,0,0,0,6,29,0,0,0,1,0,149,0,1,2,0,0,5,0,3,0,0,0,0,0,0,0,0,11,0,0,0,159,0,0,0,0,0,0,0,0,457,1284,0,3,0,6,1506,0,1,0,0,0,0,1,0,0,0,0,0,0,2143,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,69,196,0,0,101,1,64,1,0,110,0,20,0,0,0,0,0,0,0,15,0,0,0
0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,3241,0,1641,230,3,0,1350,0,0,0,262,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,36,27,0,0,0,1,472,1,0,0,5,2,56,65,818,110,0,26,38,1,35,0,1,0,2,0,1,0,0,0,2,0,0,2,2,1,0,0,1,0,0,0,287,4224,369,4,0,32,313,0,1,0,0,0,0,0,0,0,0,0,1,0,964,0,0,0,1,0,0,0,0,0,0,0,0,0,34,0,1,0,0,176,187,0,0,172,3,77,4,0,67,0,29,0,0,0,1,0,0,0,48,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,105,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,21,125,0,0,0,1,0,62,0,0,277,0,19,15,51,144,0,1,2,13,25,0,4,0,91,1,44,0,0,111,16,10,0,3408,0,1,0,0,0,0,0,0,7,252,29,401,0,38,1613,186,422,0,29,3,0,263,2,0,0,0,0,1,3711,0,0,29,288,4,0,0,0,2,0,0,0,0,37,0,11,0,0,56,390,0,1,81,0,70,3,0,126,0,6,0,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,866,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,11,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,64,31,0,0,37,0,2,0,0,25,0,27,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,86,4,541,17,21,0,553,0,0,0,83,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,8,0,0,0,0,520,0,0,0,1,0,0,72,321,15,0,1,23,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,423,324,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,25,336,0,0,32,0,207,1,0,105,0,20,0,0,0,0,0,0,0,6,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,219,2,182,23,0,0,10,0,0,0,518,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,37,19,0,0,0,2,560,0,0,0,3,0,5,3,2,23,0,4,0,0,8,0,0,0,0,0,0,0,20,36,3,0,0,117,0,1,0,0,0,0,0,0,20,257,0,3,0,8,145,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,15,0,0,91,151,0,1,131,0,60,6,0,133,0,14,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,330,1,1018,25,0,0,9,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,11,1,0,0,0,0,40,0,0,2,122,0,15,9,6,223,0,2,4,0,24,0,0,0,100,0,8,0,0,6,15,0,0,710,0,0,0,0,0,0,0,0,8,282,1,150,0,18,286,70,310,0,0,7,0,104,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,74,615,0,12,115,0,242,1,0,73,1,31,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,648,0,1335,251,45,1,106,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,12,18,0,0,0,1,75,20,0,0,89,0,11,15,38,86,0,20,8,0,15,0,259,0,164,10,24,0,0,157,0,2,0,451,0,0,3,0,0,0,0,0,299,992,14,35,0,26,1251,95,420,0,0,0,0,74,1,0,0,0,0,0,2378,0,0,0,590,2,0,0,10,2,0,0,7,0,30,0,24,0,5,71,254,0,5,44,0,51,0,0,268,0,2,0,0,0,0,0,0,0,17,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,593,2,1149,20,118,0,105,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,12,0,0,0,6,0,0,0,0,0,0,0,110,471,87,0,12,14,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,175,1743,68,0,0,13,3,0,0,0,0,20,0,8,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,22,0,0,228,192,0,2,51,0,40,0,0,52,0,2,0,0,0,0,0,0,0,9,0,0,0
