Cygnus olor, Cygnus cygnus, Cygnus columbianus, Anser cygnoides, Anser fabalis, Anser albifrons, Anser erythropus, Anser anser, Anser indicus, Tadorna ferruginea, Tadorna tadorna, Nettapus coromandelianus, Aix galericulata, Mareca strepera, Mareca falcata, Mareca penelope, Anas platyrhynchos, Spatula clypeata, Anas acuta, Spatula querquedula, Sibirionetta formosa, Anas crecca, Netta rufina, Aythya ferina, Aythya nyroca, Aythya fuligula, Aythya marila, Bucephala clangula, Mergellus albellus, Mergus serrator, Mergus squamatus, Mergus merganser, Leucogeranus leucogeranus, Antigone vipio, Grus virgo, Grus grus, Grus monacha, Grus nigricollis, Grus japonensis, Gallirallus striatus, Rallus aquaticus, Amaurornis akool, Amaurornis phoenicurus, Porzana pusilla, Porzana fusca, Gallicrex cinerea, Gallinula chloropus, Fulica atra, Scolopax rusticola, Gallinago stenura, Gallinago megala, Gallinago gallinago, Limosa limosa, Limosa lapponica, Numenius minutus, Numenius phaeopus, Numenius arquata, Numenius madagascariensis, Tringa erythropus, Tringa totanus, Tringa stagnatilis, Tringa nebularia, Tringa guttifer, Tringa ochropus, Tringa glareola, Xenus cinereus, Actitis hypoleucos, Tringa brevipes, Arenaria interpres, Limnodromus semipalmatus, Calidris tenuirostris, Calidris canutus, Calidris alba, Calidris pygmeus, Calidris minuta, Calidris ruficollis, Calidris temminckii, Calidris subminuta, Calidris acuminata, Calidris alpina, Calidris ferruginea, Calidris falcinellus, Calidris pugnax, Phalaropus lobatus, Rostratula benghalensis, Hydrophasianus chirurgus, Haematopus ostralegus, Ibidorhyncha struthersii, Himantopus himantopus, Recurvirostra avosetta, Pluvialis fulva, Pluvialis squatarola, Charadrius placidus, Charadrius dubius, Charadrius alexandrinus, Charadrius mongolus, Charadrius leschenaultii, Charadrius veredus, Vanellus vanellus, Vanellus cinereus, Glareola maldivarum, Larus crassirostris, Larus canus, Larus hyperboreus, Larus schistisagus, Larus cachinnans, Ichthyaetus ichthyaetus, Chroicocephalus brunnicephalus, Chroicocephalus ridibundus, Chroicocephalus saundersi, Ichthyaetus relictus, Gelochelidon nilotica, Hydroprogne caspia, Thalasseus bergii, Sterna dougallii, Sterna sumatrana, Sterna hirundo, Sternula albifrons, Onychoprion aleuticus, Onychoprion anaethetus, Chlidonias hybrida, Chlidonias leucopterus, Tachybaptus ruficollis, Podiceps grisegena, Podiceps cristatus, Podiceps auritus, Podiceps nigricollis, Phalacrocorax carbo, Egretta garzetta, Egretta eulophotes, Egretta sacra, Ardea cinerea, Ardea purpurea, Ardea alba, Ardea intermedia, Bubulcus coromandus, Ardeola bacchus, Butorides striata, Nycticorax nycticorax, Ixobrychus minutus, Ixobrychus sinensis, Ixobrychus eurhythmus, Ixobrychus cinnamomeus, Dupetor flavicollis, Botaurus stellaris, Platalea leucorodia, Platalea minor, Pelecanus crispus, Ciconia nigra, Ciconia boyciana
0,0,50,0,100,10,0,1,0,0,50,0,49,0,0,20,753,100,30,0,0,207,0,100,0,200,0,0,51,0,0,100,0,0,0,1952,30,0,210,0,0,0,0,0,0,0,10,102,1,0,0,7,0,0,0,0,1,0,0,0,4,6,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,100,0,0,0,0,0,0,0,195,5,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,8,0,0,135,365,0,0,291,0,71,1,0,6,0,23,0,0,0,0,0,5,27,0,0,0,11
2,0,1,0,1,0,0,0,0,0,1,0,0,20,1,15,1228,1518,5,0,0,163,0,869,0,4,1,0,249,1,0,832,0,0,0,433,6,0,88,0,0,0,0,0,0,0,27,2677,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,0,0,0,0,40,0,0,0,0,0,0,0,2,0,0,0,0,0,814,0,0,0,0,0,0,0,0,0,0,0,64,0,112,0,239,0,1,198,127,0,0,156,0,118,0,0,2,0,3,0,0,0,0,0,3,25,0,0,0,10
2,13,32,7,0,2,0,3,0,44,26,0,85,1005,937,700,1318,3701,625,0,70,1205,0,2945,1,22,8,2,152,12,0,1180,3,0,0,775,11,0,744,0,1,0,0,0,0,0,163,4313,4,0,0,7,15,0,0,0,3,0,142,0,0,14,0,13,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,500,0,0,0,0,1,0,0,0,42,0,0,0,0,0,0,0,0,0,852,0,0,0,0,0,0,0,0,0,0,0,2,0,199,0,95,0,0,8382,315,0,0,185,0,72,0,0,0,0,47,0,0,0,0,0,2,16,0,1,0,50
0,0,2,0,0,1,0,0,0,0,3,0,15,50,2,0,1002,1,11,0,0,603,0,1253,0,2,0,2,1,8,0,37,0,0,0,1301,21,0,14,0,0,0,0,0,0,0,65,353,1,0,0,1,0,0,0,0,37,0,74,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,60,1,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,9,0,0,93,56,0,0,31,0,38,0,0,0,0,18,0,0,0,0,0,0,251,0,0,0,54
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,9,0,19,0,0,0,0,34,0,0,1,0,0,0,46,0,0,0,0,0,0,0,0,0,0,5,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,11,0,0,4,28,0,0,1,0,10,0,0,0,0,1,0,0,0,0,0,0,63,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,50,1000,20,50,14,10,0,20,0,2,1000,6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,11,0,0,1500,12,0,0,20,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10,0,0,0,0,15,0,100,2,0,0,36,20,0,0,0,50,0,80,0,10,0,0,52,0,0,5,0,1,0,550,50,0,8,0,0,0,0,0,0,0,42,92,0,0,0,2,4,0,0,0,0,0,80,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,503,0,0,0,0,0,0,0,0,100,1,0,0,10,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,20,0,0,310,42,0,0,13,3,7,0,0,1,0,56,0,0,0,0,0,1,5,0,0,0,3
0,0,0,0,280,0,0,0,0,0,8,0,880,240,12000,640,122,24,8,0,24,640,0,200,0,66,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,17,180,36,0,0,0,0,0,0,0,450,27,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,2,45000,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,5401,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,124,0,180,1,17,0,0,17,0,10,0,0,6,0,61,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
