Cygnus olor, Cygnus cygnus, Cygnus columbianus, Anser cygnoides, Anser fabalis, Anser albifrons, Anser erythropus, Anser anser, Anser indicus, Tadorna ferruginea, Tadorna tadorna, Nettapus coromandelianus, Aix galericulata, Mareca strepera, Mareca falcata, Mareca penelope, Anas platyrhynchos, Spatula clypeata, Anas acuta, Spatula querquedula, Sibirionetta formosa, Anas crecca, Netta rufina, Aythya ferina, Aythya nyroca, Aythya fuligula, Aythya marila, Bucephala clangula, Mergellus albellus, Mergus serrator, Mergus squamatus, Mergus merganser, Leucogeranus leucogeranus, Antigone vipio, Grus virgo, Grus grus, Grus monacha, Grus nigricollis, Grus japonensis, Gallirallus striatus, Rallus aquaticus, Amaurornis akool, Amaurornis phoenicurus, Porzana pusilla, Porzana fusca, Gallicrex cinerea, Gallinula chloropus, Fulica atra, Scolopax rusticola, Gallinago stenura, Gallinago megala, Gallinago gallinago, Limosa limosa, Limosa lapponica, Numenius minutus, Numenius phaeopus, Numenius arquata, Numenius madagascariensis, Tringa erythropus, Tringa totanus, Tringa stagnatilis, Tringa nebularia, Tringa guttifer, Tringa ochropus, Tringa glareola, Xenus cinereus, Actitis hypoleucos, Tringa brevipes, Arenaria interpres, Limnodromus semipalmatus, Calidris tenuirostris, Calidris canutus, Calidris alba, Calidris pygmeus, Calidris minuta, Calidris ruficollis, Calidris temminckii, Calidris subminuta, Calidris acuminata, Calidris alpina, Calidris ferruginea, Calidris falcinellus, Calidris pugnax, Phalaropus lobatus, Rostratula benghalensis, Hydrophasianus chirurgus, Haematopus ostralegus, Ibidorhyncha struthersii, Himantopus himantopus, Recurvirostra avosetta, Pluvialis fulva, Pluvialis squatarola, Charadrius placidus, Charadrius dubius, Charadrius alexandrinus, Charadrius mongolus, Charadrius leschenaultii, Charadrius veredus, Vanellus vanellus, Vanellus cinereus, Glareola maldivarum, Larus crassirostris, Larus canus, Larus hyperboreus, Larus schistisagus, Larus cachinnans, Ichthyaetus ichthyaetus, Chroicocephalus brunnicephalus, Chroicocephalus ridibundus, Chroicocephalus saundersi, Ichthyaetus relictus, Gelochelidon nilotica, Hydroprogne caspia, Thalasseus bergii, Sterna dougallii, Sterna sumatrana, Sterna hirundo, Sternula albifrons, Onychoprion aleuticus, Onychoprion anaethetus, Chlidonias hybrida, Chlidonias leucopterus, Tachybaptus ruficollis, Podiceps grisegena, Podiceps cristatus, Podiceps auritus, Podiceps nigricollis, Phalacrocorax carbo, Egretta garzetta, Egretta eulophotes, Egretta sacra, Ardea cinerea, Ardea purpurea, Ardea alba, Ardea intermedia, Bubulcus coromandus, Ardeola bacchus, Butorides striata, Nycticorax nycticorax, Ixobrychus minutus, Ixobrychus sinensis, Ixobrychus eurhythmus, Ixobrychus cinnamomeus, Dupetor flavicollis, Botaurus stellaris, Platalea leucorodia, Platalea minor, Pelecanus crispus, Ciconia nigra, Ciconia boyciana
0,0,3544,31529,302,8883,14,561,1,86,8,0,0,22,203,750,6446,506,20503,0,6,10535,1,3151,15,20,0,0,16,0,51,43,2894,3508,0,1380,352,0,0,0,0,0,1,0,0,0,76,1048,1,1,0,75,2,0,0,0,11,0,4008,1,2,214,0,6,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5001,0,0,0,0,0,0,0,0,32,5372,0,2,1,9,27,0,0,0,295,0,0,0,1,0,0,0,0,0,985,0,0,0,0,0,0,0,0,0,0,0,12,0,110,0,19,0,0,188,70,0,0,508,0,7,2,0,9,0,3,0,0,0,0,0,7,1557,0,25,0,3992
0,678,3286,9949,22572,15588,20,3860,1,24,22,0,234,94,706,3241,1034,411,2052,0,4,5253,0,301,0,60,0,0,1,0,60,18,2995,109,0,1195,251,0,0,0,0,0,0,0,0,0,114,422,0,0,0,51,506,0,0,0,78,0,5720,0,18,205,0,72,11,0,19,0,0,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,6170,0,2,9,1,19,0,0,0,935,12,0,0,0,0,0,0,0,0,3562,0,0,0,0,0,0,0,0,0,0,0,401,0,1078,0,62,0,4,1279,948,0,0,2237,0,37,0,0,3,0,3,0,0,0,0,0,1,18529,21,0,2,7784
0,0,3615,1097,202,9667,7,55,0,0,2,0,79,5,622,545,160,70,317,0,2,1668,0,23,0,0,0,0,0,0,119,8,536,107,0,605,286,0,0,0,0,0,0,0,0,1,74,165,0,0,0,87,2,0,0,0,48,0,2587,2512,3,284,0,16,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,34522,0,0,7,3,29,0,0,0,673,3,0,0,0,0,0,0,0,0,8353,0,0,0,0,0,0,0,0,0,0,0,9550,3,549,0,38,0,0,405,139,0,0,1634,0,605,3,0,1,0,301,0,0,0,0,0,5,3904,0,0,2,3831
0,0,1,0,0,1,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,201,1,0,1,4,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,2,51,22,2,1,0,1,0,0,0,0,0,1,0,3,13,1,2,0,1,4,0,2,0,1,0,0,4,0,8,6,117,15,0,59,2,0,0,0,0,0,1,0,0,0,7,2,0,0,0,1,0,0,0,0,1,0,65,0,0,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,8,0,0,4,1,0,0,21,0,2,0,0,0,0,10,0,0,0,0,0,1,23,0,0,0,6
0,1,1511,1518,0,1398,0,4,0,158,0,0,4,0,0,0,25,0,210,0,0,362,0,0,0,0,0,0,0,0,41,33,914,1565,0,4,22,0,0,0,0,0,1,0,0,0,7,1,0,0,0,4,0,0,0,0,30,0,3,20,2,41,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,0,3,0,4,0,0,0,89,0,0,0,0,0,0,0,0,0,1743,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,7,0,0,302,31,0,0,53,0,4,0,0,1,0,2,0,2,0,0,0,0,22,0,0,0,93
0,0,100,820,1200,12,0,0,0,10,0,0,0,0,0,0,4,20,0,0,0,160,0,20,0,0,0,0,0,0,0,0,360,7,0,216,23,0,0,0,0,0,0,0,0,0,45,20,0,0,0,23,30,0,0,0,12,0,340,0,0,2,0,5,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,178,0,0,0,1,0,0,0,0,275,14,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,512,0,126,0,10,0,0,4,90,0,0,385,0,0,0,0,0,0,200,0,0,0,0,0,4,100,0,0,0,965
0,0,2,4,202,2,0,0,0,0,0,0,17,0,0,2,7,0,1,0,1,303,0,0,0,0,0,0,0,0,11,0,15,48,0,73,12,0,0,0,0,0,1,0,0,0,26,0,0,0,0,2,0,0,0,0,0,0,210,1,0,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,4,9,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1,0,62,0,40,0,0,0,52,0,0,43,0,1,0,0,0,0,151,0,2,0,0,0,0,17,0,0,1,9
0,0,96,179,3568,844,0,60,0,0,0,0,17,0,12,2,8,0,0,0,0,400,0,20,0,0,0,0,0,0,35,0,102,7,0,97,9,0,0,0,0,0,0,0,0,0,14,35,0,0,0,0,302,0,0,0,2,0,4134,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,1,2,4,0,0,0,64,11,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,200,0,39,0,366,0,0,3,103,0,0,211,0,0,0,0,0,0,406,0,3,0,0,0,3,43,0,0,0,12
0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,8,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
