Cygnus olor, Cygnus cygnus, Cygnus columbianus, Anser cygnoides, Anser fabalis, Anser albifrons, Anser erythropus, Anser anser, Anser indicus, Tadorna ferruginea, Tadorna tadorna, Nettapus coromandelianus, Aix galericulata, Mareca strepera, Mareca falcata, Mareca penelope, Anas platyrhynchos, Spatula clypeata, Anas acuta, Spatula querquedula, Sibirionetta formosa, Anas crecca, Netta rufina, Aythya ferina, Aythya nyroca, Aythya fuligula, Aythya marila, Bucephala clangula, Mergellus albellus, Mergus serrator, Mergus squamatus, Mergus merganser, Leucogeranus leucogeranus, Antigone vipio, Grus virgo, Grus grus, Grus monacha, Grus nigricollis, Grus japonensis, Gallirallus striatus, Rallus aquaticus, Amaurornis akool, Amaurornis phoenicurus, Porzana pusilla, Porzana fusca, Gallicrex cinerea, Gallinula chloropus, Fulica atra, Scolopax rusticola, Gallinago stenura, Gallinago megala, Gallinago gallinago, Limosa limosa, Limosa lapponica, Numenius minutus, Numenius phaeopus, Numenius arquata, Numenius madagascariensis, Tringa erythropus, Tringa totanus, Tringa stagnatilis, Tringa nebularia, Tringa guttifer, Tringa ochropus, Tringa glareola, Xenus cinereus, Actitis hypoleucos, Tringa brevipes, Arenaria interpres, Limnodromus semipalmatus, Calidris tenuirostris, Calidris canutus, Calidris alba, Calidris pygmeus, Calidris minuta, Calidris ruficollis, Calidris temminckii, Calidris subminuta, Calidris acuminata, Calidris alpina, Calidris ferruginea, Calidris falcinellus, Calidris pugnax, Phalaropus lobatus, Rostratula benghalensis, Hydrophasianus chirurgus, Haematopus ostralegus, Ibidorhyncha struthersii, Himantopus himantopus, Recurvirostra avosetta, Pluvialis fulva, Pluvialis squatarola, Charadrius placidus, Charadrius dubius, Charadrius alexandrinus, Charadrius mongolus, Charadrius leschenaultii, Charadrius veredus, Vanellus vanellus, Vanellus cinereus, Glareola maldivarum, Larus crassirostris, Larus canus, Larus hyperboreus, Larus schistisagus, Larus cachinnans, Ichthyaetus ichthyaetus, Chroicocephalus brunnicephalus, Chroicocephalus ridibundus, Chroicocephalus saundersi, Ichthyaetus relictus, Gelochelidon nilotica, Hydroprogne caspia, Thalasseus bergii, Sterna dougallii, Sterna sumatrana, Sterna hirundo, Sternula albifrons, Onychoprion aleuticus, Onychoprion anaethetus, Chlidonias hybrida, Chlidonias leucopterus, Tachybaptus ruficollis, Podiceps grisegena, Podiceps cristatus, Podiceps auritus, Podiceps nigricollis, Phalacrocorax carbo, Egretta garzetta, Egretta eulophotes, Egretta sacra, Ardea cinerea, Ardea purpurea, Ardea alba, Ardea intermedia, Bubulcus coromandus, Ardeola bacchus, Butorides striata, Nycticorax nycticorax, Ixobrychus minutus, Ixobrychus sinensis, Ixobrychus eurhythmus, Ixobrychus cinnamomeus, Dupetor flavicollis, Botaurus stellaris, Platalea leucorodia, Platalea minor, Pelecanus crispus, Ciconia nigra, Ciconia boyciana
0,0,334,0,0,0,0,2,0,0,1059,0,0,148,1064,41,619,7,1200,0,0,1,0,146,0,90,4,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,75,1078,0,0,0,10,0,0,0,0,43,0,28,0,0,31,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,76,2,20,100,113,0,0,122,0,53,0,0,1,0,57,0,0,0,0,0,1,169,0,0,0,0
0,3,511,0,165,375,0,0,0,0,400,0,1,519,3593,631,21,28,25,0,0,153,0,631,0,452,2,0,0,0,0,5,0,0,0,20,70,0,0,0,0,0,4,0,0,0,38,3818,1,0,0,38,0,0,0,0,1000,0,1,0,0,165,0,28,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,16520,0,0,0,0,0,0,0,0,0,21,0,860,0,0,81,0,0,0,39,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,126,0,26,411,1276,0,0,380,0,137,0,0,17,0,90,0,0,0,0,0,17,133,24,0,0,0
0,0,552,47,51,0,0,0,0,4,34,0,44,754,1405,10,978,932,758,0,401,168,0,387,0,47,8,0,6,0,0,23,0,0,0,25,128,0,0,0,0,0,6,0,0,0,100,1477,0,0,0,135,0,0,0,0,31,0,67,0,0,183,0,24,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,15,0,0,0,1,53,0,0,0,180,0,0,8,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,80,0,4,271,779,0,0,497,0,150,1,0,9,0,47,0,0,0,0,0,14,553,19,0,0,4
0,0,0,1,0,0,0,0,0,0,0,0,1,20,205,135,15,0,0,0,0,40,0,116,0,188,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,2,0,0,0,70,1741,0,0,0,40,0,0,0,0,901,0,5,0,0,3,0,21,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1006,0,0,0,0,0,0,0,0,0,400,0,681,0,0,71,0,0,0,21,0,0,18,0,0,1,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,165,6,0,997,99,0,0,249,0,14,5,0,0,0,73,0,2,0,0,0,0,180,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,51,61,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,322,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,4,0,0,16,40,0,0,12,0,1,0,0,0,0,3,0,0,0,0,0,0,50,0,0,0,0
0,1,7,0,0,0,0,0,0,0,505,0,0,273,89,15,7,15,14,0,0,27,0,28,0,65,5,0,0,0,0,2,1,0,0,8,5,0,0,0,0,0,3,0,0,0,39,403,0,0,0,32,0,0,0,0,6,0,10,0,0,2,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,1,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,23,1,0,92,169,0,0,53,0,15,0,0,1,0,31,0,0,0,0,0,0,58,6,0,0,0
0,0,167,0,0,0,0,0,0,0,0,0,0,283,982,55,402,20,750,0,0,735,0,117,0,127,22,0,2,0,0,5,0,0,0,15,9,0,0,0,0,0,4,0,0,0,38,1036,0,0,0,8,0,0,0,0,3,2,21,0,0,13,0,7,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,32,0,0,0,0,0,0,0,0,0,8,0,0,0,5,154,0,0,0,6,0,0,9,1,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,93,0,62,115,88,0,0,35,0,13,0,0,1,0,57,0,0,0,0,0,2,2,1,0,0,3
0,0,0,0,2,0,0,0,0,1,1,0,0,78,1704,8,121,94,4,0,0,420,0,462,0,2,0,0,0,0,0,0,2,0,0,9,72,0,0,0,0,0,1,0,0,0,20,273,1,0,0,11,0,0,0,0,0,0,39,0,0,11,0,11,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,5,40,0,0,0,94,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,11,1,12,91,73,0,0,134,0,9,3,0,4,0,64,0,0,0,0,0,1,204,11,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,292,903,193,1,79,3,0,0,164,0,23,0,221,10,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,47,1069,0,0,0,14,0,0,0,0,0,0,38,0,0,10,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,1,0,2,83,0,0,0,0,0,0,85,48,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,3,0,129,0,114,8,3,218,79,0,0,93,0,16,1,0,0,0,120,0,0,0,0,0,2,95,3,0,0,0
0,0,0,4,0,0,0,0,0,0,1,0,3,32,1197,78,3,14,6,5,0,198,0,13,0,163,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,96,1095,0,0,0,29,0,0,0,0,0,0,0,0,0,23,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,0,0,17,26,0,5,0,1,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,60,0,0,407,138,0,0,134,0,35,0,0,0,0,41,0,0,0,0,0,0,138,7,0,0,0
